1,Задача 1, Обсуждение проекта с командой,Работа, 2, Высокий,Не выполнена
2,Купить продукты для ужина, Закупить ингредиенты для пасты и салата, Личное, 1, Средний,Не выполнена
3,Подготовить отчет по проекту, Собрать данные и оформить отчет для клиента, Работа, 3, Высокий,Не выполнена
4,Прочитать книгу по личностному росту, Закончить чтение главы про тайм-менеджмент, Обучение, 7, Низкий,Не выполнена
5,Сделать зарядку, Утренние упражнения на 20 минут, Личное, 1, Высокий,Не выполнена
6,Организовать семейный ужин, Пригласить семью и приготовить особенное блюдо, Личное, 2, Средний,Не выполнена
7,Настроить компьютер для работы, Установить обновления и настроить VPN, Работа, 1, Высокий,Не выполнена
8,Позвонить в страховую компанию, Уточнить условия продления страховки, Личное, 1, Средний,Не выполнена
9,Сходить на прогулку, Прогуляться в парке не менее 30 минут, Личное, 1, Низкий,Не выполнена
10,Изучить новый инструмент-2,Посмотреть видеоурок по работе с Excel,Обучение,2024-12-31,Высокий,Не выполнена
11,1,1,Работа,1,,Не выполнена
12,1,1,Работа,2034-12-True,высокий,Не выполнена
13,11,1,Работа,2323-12-111,,Не выполнена
14,1,1,Работа,22222-12-122,,Не выполнена
15,1,1,Работа,2222-11-1111,1,Не выполнена
16,1,1,Работа,3333-2-222,2,Не выполнена
17,1,1,Работа,11111-11-1,Низкий,Не выполнена
18,1,1,Работа,3333-3-3,Высокий,Не выполнена
19,1,1,Работа,2024-11-1,1,Не выполнена
20,1,1,Работа,2222-2-2,q,Не выполнена
